06-15-2026 05:34:23 RAM 9394/30991MB (lfb 2055x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2263,100%@2263,100%@2255,100%@2265,100%@2265,100%@2261] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36C GPU@37.5C Tdiode@42C PMIC@50C GPU 1108mW/1108mW CPU 9658mW/8670mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/559mW SYS5V 3160mW/3136mW
06-15-2026 05:34:23 RAM 9453/30991MB (lfb 2050x4MB) SWAP 0/15495MB (cached 0MB) CPU [90%@2265,100%@2264,100%@2264,100%@2265,100%@2265,100%@2265,100%@2265,100%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42C PMIC@50C GPU 1108mW/1108mW CPU 9658mW/8700mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/561mW SYS5V 3160mW/3136mW
06-15-2026 05:34:23 RAM 9508/30991MB (lfb 2041x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2263,100%@2265,100%@2265,100%@2264,100%@2263,100%@2266] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.25C PMIC@50C GPU 1108mW/1108mW CPU 9658mW/8728mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/563mW SYS5V 3160mW/3137mW
06-15-2026 05:34:24 RAM 9561/30991MB (lfb 2037x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2264,100%@2264,100%@2265,100%@2265,100%@2265,100%@2266,100%@2265,95%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 2%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.25C PMIC@50C GPU 1108mW/1108mW CPU 9658mW/8754mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/565mW SYS5V 3160mW/3138mW
06-15-2026 05:34:24 RAM 9609/30991MB (lfb 2029x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2263,100%@2260,100%@2264,100%@2265,100%@2266,100%@2264,100%@2274,100%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.25C PMIC@50C GPU 1108mW/1108mW CPU 9658mW/8779mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/567mW SYS5V 3160mW/3138mW
06-15-2026 05:34:24 RAM 9662/30991MB (lfb 2016x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2264,100%@2272,100%@2250,100%@2265,100%@2266,100%@2261,100%@2264,100%@2259] EMC_FREQ 1%@2133 GR3D_FREQ 2%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.25C PMIC@50C GPU 1108mW/1108mW CPU 9658mW/8803mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/569mW SYS5V 3160mW/3139mW
06-15-2026 05:34:24 RAM 9699/30991MB (lfb 2007x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2265,100%@2264,100%@2264,100%@2267,100%@2265,100%@2265,95%@2263] EMC_FREQ 1%@2133 GR3D_FREQ 5%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.5C PMIC@50C GPU 1266mW/1112mW CPU 9658mW/8826mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/570mW SYS5V 3160mW/3140mW
06-15-2026 05:34:25 RAM 9748/30991MB (lfb 1995x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2262,100%@2267,100%@2265,100%@2265,100%@2261,100%@2265,100%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.25C PMIC@50C GPU 1266mW/1116mW CPU 9658mW/8847mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/572mW SYS5V 3160mW/3140mW
06-15-2026 05:34:25 RAM 9774/30991MB (lfb 1988x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2265,100%@2264,100%@2264,100%@2265,100%@2265,100%@2264,100%@2263,100%@2264] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.25C PMIC@50C GPU 1108mW/1116mW CPU 9658mW/8867mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/573mW SYS5V 3160mW/3141mW
06-15-2026 05:34:25 RAM 9817/30991MB (lfb 1978x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2264,100%@2265,100%@2262,100%@2265,100%@2265,100%@2265,100%@2265,100%@2267] EMC_FREQ 1%@2133 GR3D_FREQ 4%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.5C PMIC@50C GPU 1108mW/1115mW CPU 9658mW/8887mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/575mW SYS5V 3120mW/3140mW
06-15-2026 05:34:25 RAM 9875/30991MB (lfb 1964x4MB) SWAP 0/15495MB (cached 0MB) CPU [100%@2262,100%@2256,100%@2266,95%@2265,95%@2265,100%@2266,95%@2265,95%@2271] EMC_FREQ 1%@2133 GR3D_FREQ 1%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@41.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.5C PMIC@50C GPU 1266mW/1119mW CPU 9658mW/8905mW SOC 2534mW/2534mW CV 158mW/158mW VDDRQ 633mW/576mW SYS5V 3160mW/3140mW
06-15-2026 05:34:25 RAM 9957/30991MB (lfb 1943x4MB) SWAP 0/15495MB (cached 0MB) CPU [36%@2263,0%@2268,4%@2265,0%@2265,9%@2263,4%@2264,62%@2265,47%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@40.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.5C PMIC@50C GPU 1109mW/1119mW CPU 6813mW/8856mW SOC 2536mW/2534mW CV 158mW/158mW VDDRQ 633mW/577mW SYS5V 3160mW/3141mW
06-15-2026 05:34:26 RAM 10020/30991MB (lfb 1928x4MB) SWAP 0/15495MB (cached 0MB) CPU [9%@2265,4%@2264,0%@2260,4%@2265,4%@2265,4%@2264,4%@2265,100%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@40C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.5C PMIC@50C GPU 1110mW/1119mW CPU 5074mW/8770mW SOC 2538mW/2534mW CV 158mW/158mW VDDRQ 634mW/579mW SYS5V 3160mW/3141mW
06-15-2026 05:34:26 RAM 10037/30991MB (lfb 1924x4MB) SWAP 0/15495MB (cached 0MB) CPU [9%@2262,0%@2256,45%@2264,4%@2264,4%@2261,9%@2265,0%@2265,54%@2262] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@39.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.5C PMIC@50C GPU 1110mW/1118mW CPU 3966mW/8663mW SOC 2539mW/2534mW CV 158mW/158mW VDDRQ 634mW/580mW SYS5V 3160mW/3142mW
06-15-2026 05:34:26 RAM 10041/30991MB (lfb 1923x4MB) SWAP 0/15495MB (cached 0MB) CPU [9%@2264,4%@2262,19%@2265,4%@2264,4%@2265,0%@2264,0%@2263,0%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@39.5C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.5C PMIC@50C GPU 1111mW/1118mW CPU 2856mW/8537mW SOC 2539mW/2535mW CV 158mW/158mW VDDRQ 634mW/581mW SYS5V 3120mW/3141mW
06-15-2026 05:34:26 RAM 10042/30991MB (lfb 1923x4MB) SWAP 0/15495MB (cached 0MB) CPU [4%@2265,0%@2265,4%@2265,13%@2265,12%@2264,4%@2265,0%@2265,4%@2265] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[1377] VIC_FREQ 115 APE 150 AUX@37.5C CPU@39C thermal@38.7C Tboard@35C AO@36.5C GPU@37.5C Tdiode@42.5C PMIC@50C GPU 1111mW/1118mW CPU 2380mW/8406mW SOC 2540mW/2535mW CV 158mW/158mW VDDRQ 476mW/579mW SYS5V 3120mW/3141mW
